Tamb,Tdc_in,qdc,wdc,Tdc_out
17.6666666666667,43.1666666666667,9,99.18,99.18
17.6666666666667,43.1666666666667,12,11,11
17.6666666666667,43.1666666666667,12,28.636,28.636
17.6666666666667,43.1666666666667,12,46.272,46.272
17.6666666666667,43.1666666666667,12,63.908,63.908
17.6666666666667,43.1666666666667,12,81.544,81.544
17.6666666666667,43.1666666666667,12,99.18,99.18
17.6666666666667,43.1666666666667,15,11,11
17.6666666666667,43.1666666666667,15,28.636,28.636
17.6666666666667,43.1666666666667,15,46.272,46.272
17.6666666666667,43.1666666666667,15,63.908,63.908
17.6666666666667,43.1666666666667,15,81.544,81.544
17.6666666666667,43.1666666666667,15,99.18,99.18
17.6666666666667,43.1666666666667,18,11,11
17.6666666666667,43.1666666666667,18,28.636,28.636
17.6666666666667,43.1666666666667,18,46.272,46.272
17.6666666666667,43.1666666666667,18,63.908,63.908
17.6666666666667,43.1666666666667,18,81.544,81.544
17.6666666666667,43.1666666666667,18,99.18,99.18
17.6666666666667,43.1666666666667,21,11,11
17.6666666666667,43.1666666666667,21,28.636,28.636
17.6666666666667,43.1666666666667,21,46.272,46.272
17.6666666666667,43.1666666666667,21,63.908,63.908
17.6666666666667,43.1666666666667,21,81.544,81.544
17.6666666666667,43.1666666666667,21,99.18,99.18
17.6666666666667,43.1666666666667,24,11,11
17.6666666666667,43.1666666666667,24,28.636,28.636
17.6666666666667,43.1666666666667,24,46.272,46.272
17.6666666666667,43.1666666666667,24,63.908,63.908
17.6666666666667,43.1666666666667,24,81.544,81.544
17.6666666666667,43.1666666666667,24,99.18,99.18
25,28,6,11,11
25,28,6,28.636,28.636
25,28,6,46.272,46.272
25,28,6,63.908,63.908
25,28,6,81.544,81.544
25,28,6,99.18,99.18
25,28,9,11,11
25,28,9,28.636,28.636
25,28,9,46.272,46.272
25,28,9,63.908,63.908
25,28,9,81.544,81.544
25,28,9,99.18,99.18
25,28,12,11,11
25,28,12,28.636,28.636
25,28,12,46.272,46.272
25,28,12,63.908,63.908
25,28,12,81.544,81.544
25,28,12,99.18,99.18
25,28,15,11,11
25,28,15,28.636,28.636
25,28,15,46.272,46.272
25,28,15,63.908,63.908
25,28,15,81.544,81.544
25,28,15,99.18,99.18
25,28,18,11,11
25,28,18,28.636,28.636
25,28,18,46.272,46.272
25,28,18,63.908,63.908
25,28,18,81.544,81.544
25,28,18,99.18,99.18
25,28,21,11,11
25,28,21,28.636,28.636
25,28,21,46.272,46.272
25,28,21,63.908,63.908
25,28,21,81.544,81.544
25,28,21,99.18,99.18
25,28,24,11,11
25,28,24,28.636,28.636
