Tamb,HR,mv,Tv,qc,Tc_in,Tc_out,Tcond,Qc_released,Qc_absorbed,Qc_transfered,Ce_c,Rp,Rs,wdc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,wwct,qwct,qwct_s,qwct_p,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct,Tcc_out,Cw_s1,Cw_s2,Pw,Pw_s1,Pw_s2,Pe,Vavail,deltaV,time,qdc_only,Tcc_in,Ce_cc,Cw_cc,Qcc,Ce,Cw,qcc,Vavail_s1,Je,Jw,J,Je_c,Je_dc,Je_wct,Jw_wct,Jw_s1,Jw_s2,dc_active,dc_mode,wct_active,wct_mode
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,1.0,50.19111111111111,10.0,40.0,34.733731374805465,1.0800830238357513,61.124295988438206,22.996433834586465,10.0,10.0,0.0,34.733731374805465,29.671757799719195,0.14179580562775795,79.60457278323156,58.76383538725111,32.20274458726233,79.60457278323156,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,1.2218788294635092,79.60457278323156,119.88813137568931,1.7888788294635094,79.60457278323156,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.0,0.7777777777777777,40.39333333333333,12.0,40.0,35.93721847558361,0.5697972609275261,56.586271165863955,22.81493984962406,9.333333333333332,9.333333333333332,0.0,35.93721847558361,30.09074601126529,0.14046633974015912,84.4457628233431,63.343699569503826,33.37938677244435,84.4457628233431,0,,,,,,,2005-06-23 13:01:00+02:00,2.666666666666668,40.0,0.7102636006676852,84.4457628233431,119.92997073536779,1.5605564006676853,84.4457628233431,12.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.0,0.8888888888888888,40.39333333333333,12.0,40.0,35.93721847558361,0.5697972609275261,56.586271165863955,22.088963909774435,10.666666666666666,10.666666666666666,0.0,35.93721847558361,30.806999331718977,0.13541977057809637,85.09128348064405,63.522892765100124,33.522997702000254,85.09128348064405,0,,,,,,,2005-06-23 13:01:00+02:00,1.333333333333334,40.0,0.7052170315056225,85.09128348064405,120.10916393096409,1.5555098315056224,85.09128348064405,12.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.0,1.0,40.39333333333333,12.0,40.0,35.93721847558361,0.5697972609275261,56.586271165863955,21.544481954887218,12.0,12.0,0.0,35.93721847558361,31.389412343182336,0.13191970281429855,85.57659483981115,63.34951706383306,33.663315409382975,85.57659483981115,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.7017169637418247,85.57659483981115,119.93578822969701,1.5520097637418246,85.57659483981115,12.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,1.0,40.39333333333333,10.0,40.0,35.383757051275715,0.5697972609275261,53.57929200194851,24.811373684210526,10.0,10.0,0.0,35.383757051275715,29.657492327882643,0.15658258363957533,89.8671878678797,66.47442371672687,32.52062468957918,89.8671878678797,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.7263798445671015,89.8671878678797,120.05371571867539,1.2933798445671016,89.8671878678797,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,8.0,27.076171513293488,40.0,42.0,120.00000000000003,120.01723865063828,198.19601337556688,0.3648752,0.0,1.0,40.39333333333333,8.0,40.0,34.68864558193916,0.5697972609275261,49.31809788207705,32.071133082706766,8.0,8.0,0.0,34.68864558193916,27.081453731196667,0.24285913452010183,98.03144262266142,70.65409777097221,30.885049656567915,98.03144262266142,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.812656395447628,98.03144262266142,119.97219565304925,1.177531595447628,98.03144262266142,8.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,1.0,30.595555555555556,10.0,40.0,36.20303149709678,0.28340596017618713,44.069943100355566,26.80780751879699,10.0,10.0,0.0,36.20303149709678,29.675734802062358,0.1759814896378156,102.19413981866819,75.7718031562773,32.93938314957957,102.19413981866819,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.4593874498140027,102.19413981866819,119.84174625663286,1.0263874498140029,102.19413981866819,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,8.0,27.076171513293488,40.0,42.0,120.00000000000003,120.01723865063828,198.19601337556688,0.3648752,0.0,1.0,30.595555555555556,8.0,40.0,35.54997917525787,0.28340596017618713,41.31994515437967,34.249060902255636,8.0,8.0,0.0,35.54997917525787,27.063488840271454,0.27720648470023596,108.71766148042661,78.81884052599554,31.30673400776466,108.71766148042661,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.5606124448764231,108.71766148042661,120.13878568037521,0.9254876448764231,108.71766148042661,8.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,1.0,20.797777777777778,10.0,40.0,37.27146881852848,0.14700881928444937,31.668784636070253,29.348723308270678,10.0,10.0,0.0,37.27146881852848,29.674732204905446,0.20541865815866872,118.70473707747442,88.18419565956349,33.473100511716964,118.70473707747442,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.3524274774431181,118.70473707747442,119.85298029563374,0.9194274774431183,118.70473707747442,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,8.0,27.076171513293488,40.0,42.0,120.00000000000003,120.01723865063828,198.19601337556688,0.3648752,0.0,1.0,20.797777777777778,8.0,40.0,36.731477590502145,0.14700881928444937,30.349068315421487,36.78997669172932,8.0,8.0,0.0,36.731477590502145,27.06686429693989,0.3222159511113786,123.01536075305921,89.75771644677047,31.899170943721018,123.01536075305921,0,,,,,,,2005-06-23 13:01:00+02:00,0.0,40.0,0.46922477039582794,123.01536075305921,120.10678476219196,0.834099970395828,123.01536075305921,8.0,,,,,,,,,,,True,0,True,0
