Tamb,Tdc_in,qdc,wdc,Tdc_out
10.3333333333333,35.8333333333333,12,46.272,24.5902944277689
10.3333333333333,35.8333333333333,12,63.908,22.1868489583333
10.3333333333333,35.8333333333333,12,81.544,20.3938802083333
10.3333333333333,35.8333333333333,12,99.18,19.0367024739583
10.3333333333333,35.8333333333333,15,11,33.4669369060949
10.3333333333333,35.8333333333333,15,28.636,29.2669245891352
10.3333333333333,35.8333333333333,15,46.272,26.1982881353045
10.3333333333333,35.8333333333333,15,63.908,23.8802083333333
10.3333333333333,35.8333333333333,15,81.544,22.0996907552083
10.3333333333333,35.8333333333333,15,99.18,20.6927083333333
10.3333333333333,35.8333333333333,18,11,33.8444103728843
10.3333333333333,35.8333333333333,18,28.636,30.1987328765748
10.3333333333333,35.8333333333333,18,46.272,27.4110772126462
10.3333333333333,35.8333333333333,18,63.908,25.2317584992694
10.3333333333333,35.8333333333333,18,81.544,23.4817708333333
10.3333333333333,35.8333333333333,18,99.18,22.0747884114583
10.3333333333333,35.8333333333333,21,11,34.1176638286272
10.3333333333333,35.8333333333333,21,28.636,30.9039917452032
10.3333333333333,35.8333333333333,21,46.272,28.3579257575336
10.3333333333333,35.8333333333333,21,63.908,26.3094247368085
10.3333333333333,35.8333333333333,21,81.544,24.6361162696175
10.3333333333333,35.8333333333333,21,99.18,23.2451985677083
10.3333333333333,35.8333333333333,24,11,34.325761234676
10.3333333333333,35.8333333333333,24,28.636,31.45381137692
10.3333333333333,35.8333333333333,24,46.272,29.1209734998306
10.3333333333333,35.8333333333333,24,63.908,27.2004108939199
10.3333333333333,35.8333333333333,24,81.544,25.5960910112888
10.3333333333333,35.8333333333333,24,99.18,24.2537434895833
10.3333333333333,40.3333333333333,6,11,33.890926717036
10.3333333333333,40.3333333333333,6,28.636,25.2893880208333
10.3333333333333,40.3333333333333,6,46.272,20.8655598958333
10.3333333333333,40.3333333333333,6,63.908,18.3167317708333
10.3333333333333,40.3333333333333,6,81.544,16.6907552083333
10.3333333333333,40.3333333333333,6,99.18,15.5921223958333
10.3333333333333,40.3333333333333,9,11,35.842541192752
10.3333333333333,40.3333333333333,9,28.636,28.8201821509991
10.3333333333333,40.3333333333333,9,46.272,24.4690755208333
10.3333333333333,40.3333333333333,9,63.908,21.6126302083333
10.3333333333333,40.3333333333333,9,81.544,19.6204427083333
10.3333333333333,40.3333333333333,9,99.18,18.1702473958333
10.3333333333333,40.3333333333333,12,11,36.8903717224926
10.3333333333333,40.3333333333333,12,28.636,31.0591972312038
10.3333333333333,40.3333333333333,12,46.272,27.0524754257276
10.3333333333333,40.3333333333333,12,63.908,24.2054036458333
10.3333333333333,40.3333333333333,12,81.544,22.0813802083333
10.3333333333333,40.3333333333333,12,99.18,20.4700520833333
10.3333333333333,40.3333333333333,15,11,37.5429727787527
10.3333333333333,40.3333333333333,15,28.636,32.5854268132873
10.3333333333333,40.3333333333333,15,46.272,28.9530920012774
10.3333333333333,40.3333333333333,15,63.908,26.2122395833333
10.3333333333333,40.3333333333333,15,81.544,24.1028645833333
10.3333333333333,40.3333333333333,15,99.18,22.4329427083333
10.3333333333333,40.3333333333333,18,11,37.98801792363
10.3333333333333,40.3333333333333,18,28.636,33.6847655317331
10.3333333333333,40.3333333333333,18,46.272,30.3952429685574
10.3333333333333,40.3333333333333,18,63.908,27.8097993776247
10.3333333333333,40.3333333333333,18,81.544,25.7434895833333
10.3333333333333,40.3333333333333,18,99.18,24.0735677083333
10.3333333333333,40.3333333333333,21,11,38.3101998049274
10.3333333333333,40.3333333333333,21,28.636,34.5168242321277
10.3333333333333,40.3333333333333,21,46.272,31.5124857002086
10.3333333333333,40.3333333333333,21,63.908,29.0947108194722
10.3333333333333,40.3333333333333,21,81.544,27.1047162559838
10.3333333333333,40.3333333333333,21,99.18,25.4651692708333
10.3333333333333,40.3333333333333,24,11,38.5543391035508
10.3333333333333,40.3333333333333,24,28.636,35.1655084635195
10.3333333333333,40.3333333333333,24,46.272,32.4128006594961
10.3333333333333,40.3333333333333,24,63.908,30.1462047679976
10.3333333333333,40.3333333333333,24,81.544,28.2522948296889
10.3333333333333,40.3333333333333,24,99.18,26.6516927083333
17.6666666666667,25.1666666666667,6,11,23.5724882307209
17.6666666666667,25.1666666666667,6,28.636,21.4606119791667
17.6666666666667,25.1666666666667,6,46.272,20.3766276041667
17.6666666666667,25.1666666666667,6,63.908,19.7467447916667
17.6666666666667,25.1666666666667,6,81.544,19.3439127604167
17.6666666666667,25.1666666666667,6,99.18,19.0692545572917
17.6666666666667,25.1666666666667,9,11,24.0532877013707
17.6666666666667,25.1666666666667,9,28.636,22.3207481255001
17.6666666666667,25.1666666666667,9,46.272,21.2518717447917
17.6666666666667,25.1666666666667,9,63.908,20.5487467447917
17.6666666666667,25.1666666666667,9,81.544,20.0543619791667
17.6666666666667,25.1666666666667,9,99.18,19.6991373697917
17.6666666666667,25.1666666666667,12,11,24.3126497021797
17.6666666666667,25.1666666666667,12,28.636,22.870118599253
17.6666666666667,25.1666666666667,12,46.272,21.8852906032479
17.6666666666667,25.1666666666667,12,63.908,21.1822916666667
17.6666666666667,25.1666666666667,12,81.544,20.6622721354167
17.6666666666667,25.1666666666667,12,99.18,20.2631022135417
17.6666666666667,25.1666666666667,15,11,24.4741433257667
17.6666666666667,25.1666666666667,15,28.636,23.2483265819331
17.6666666666667,25.1666666666667,15,46.272,22.3516758093302
17.6666666666667,25.1666666666667,15,63.908,21.6766764322917
17.6666666666667,25.1666666666667,15,81.544,21.1566569010417
17.6666666666667,25.1666666666667,15,99.18,20.7428385416667
17.6666666666667,25.1666666666667,18,11,24.5842552333617
17.6666666666667,25.1666666666667,18,28.636,23.5193786602918
17.6666666666667,25.1666666666667,18,46.272,22.7061281667941
17.6666666666667,25.1666666666667,18,63.908,22.0696590632314
17.6666666666667,25.1666666666667,18,81.544,21.5594889322917
17.6666666666667,25.1666666666667,18,99.18,21.1493326822917
17.6666666666667,25.1666666666667,21,11,24.6646544182982
17.6666666666667,25.1666666666667,21,28.636,23.7245658334908
17.6666666666667,25.1666666666667,21,46.272,22.982884937606
17.6666666666667,25.1666666666667,21,63.908,22.3844757914988
17.6666666666667,25.1666666666667,21,81.544,21.8960450402697
17.6666666666667,25.1666666666667,21,99.18,21.4899088541667
17.6666666666667,25.1666666666667,24,11,24.7252616137747
17.6666666666667,25.1666666666667,24,28.636,23.8845383399713
17.6666666666667,25.1666666666667,24,46.272,23.2042111484483
17.6666666666667,25.1666666666667,24,63.908,22.6448343224656
17.6666666666667,25.1666666666667,24,81.544,22.1763708636878
17.6666666666667,25.1666666666667,24,99.18,21.7828776041667
17.6666666666667,29.6666666666667,6,11,27.1062389003865
17.6666666666667,29.6666666666667,6,28.636,23.6959635416667
17.6666666666667,29.6666666666667,6,46.272,21.9498697916667
17.6666666666667,29.6666666666667,6,63.908,20.9303385416667
17.6666666666667,29.6666666666667,6,81.544,20.2799479166667
17.6666666666667,29.6666666666667,6,99.18,19.8346354166667
17.6666666666667,29.6666666666667,9,11,27.8784527453525
17.6666666666667,29.6666666666667,9,28.636,25.0902339682207
17.6666666666667,29.6666666666667,9,46.272,23.3678385416667
17.6666666666667,29.6666666666667,9,63.908,22.2311197916667
17.6666666666667,29.6666666666667,9,81.544,21.4401041666667
17.6666666666667,29.6666666666667,9,99.18,20.8600260416667
17.6666666666667,29.6666666666667,12,11,28.2959818816444
17.6666666666667,29.6666666666667,12,28.636,25.9774515425471
17.6666666666667,29.6666666666667,12,46.272,24.3883833326648
17.6666666666667,29.6666666666667,12,63.908,23.2565104166667
17.6666666666667,29.6666666666667,12,81.544,22.4186197916667
17.6666666666667,29.6666666666667,12,99.18,21.7740885416667
17.6666666666667,29.6666666666667,15,11,28.5559396744324
17.6666666666667,29.6666666666667,15,28.636,26.5851054402433
17.6666666666667,29.6666666666667,15,46.272,25.143822340647
17.6666666666667,29.6666666666667,15,63.908,24.0533854166667
17.6666666666667,29.6666666666667,15,81.544,23.2154947916667
17.6666666666667,29.6666666666667,15,99.18,22.5533854166667
17.6666666666667,29.6666666666667,18,11,28.7325290972204
17.6666666666667,29.6666666666667,18,28.636,27.0227142999253
17.6666666666667,29.6666666666667,18,46.272,25.7135659197272
17.6666666666667,29.6666666666667,18,63.908,24.6848338147419
17.6666666666667,29.6666666666667,18,81.544,23.8717447916667
17.6666666666667,29.6666666666667,18,99.18,23.2037760416667
17.6666666666667,29.6666666666667,21,11,28.8609121992578
17.6666666666667,29.6666666666667,21,28.636,27.3520220131561
17.6666666666667,29.6666666666667,21,46.272,26.1583317300699
17.6666666666667,29.6666666666667,21,63.908,25.1962364569646
17.6666666666667,29.6666666666667,21,81.544,24.410414846065
17.6666666666667,29.6666666666667,21,99.18,23.7545572916667
17.6666666666667,29.6666666666667,24,11,28.9586736066611
17.6666666666667,29.6666666666667,24,28.636,27.608765972547
17.6666666666667,29.6666666666667,24,46.272,26.5139748371652
17.6666666666667,29.6666666666667,24,63.908,25.614778949618
17.6666666666667,29.6666666666667,24,81.544,24.8613292945198
17.6666666666667,29.6666666666667,24,99.18,24.2291666666667
17.6666666666667,34.1666666666667,6,11,30.6302038719438
17.6666666666667,34.1666666666667,6,28.636,25.9086100260417
17.6666666666667,34.1666666666667,6,46.272,23.4835611979167
17.6666666666667,34.1666666666667,6,63.908,22.0736490885417
17.6666666666667,34.1666666666667,6,81.544,21.1713053385417
17.6666666666667,34.1666666666667,6,99.18,20.5590006510417
17.6666666666667,34.1666666666667,9,11,31.7004339262317
