Tamb,Tin,w_fan,q,Tout
10.3333333333333,31.3333333333333,81.544,6,18.3929036458333
10.3333333333333,31.3333333333333,99.18,6,17.8494466145833
10.3333333333333,31.3333333333333,11,9,28.4544438456556
10.3333333333333,31.3333333333333,28.636,9,24.429477026019
10.3333333333333,31.3333333333333,46.272,9,22.1765950520833
10.3333333333333,31.3333333333333,63.908,9,20.7615559895833
10.3333333333333,31.3333333333333,81.544,9,19.7976888020833
10.3333333333333,31.3333333333333,99.18,9,19.1004231770833
10.3333333333333,31.3333333333333,11,12,29.1086449152346
10.3333333333333,31.3333333333333,28.636,12,25.6659704781269
10.3333333333333,31.3333333333333,46.272,12,23.5228873427581
10.3333333333333,31.3333333333333,63.908,12,22.0638020833333
10.3333333333333,31.3333333333333,81.544,12,21.0281575520833
10.3333333333333,31.3333333333333,99.18,12,20.2488606770833
10.3333333333333,31.3333333333333,11,15,29.5204631248349
10.3333333333333,31.3333333333333,28.636,15,26.5441531259785
10.3333333333333,31.3333333333333,46.272,15,24.5364455749087
10.3333333333333,31.3333333333333,63.908,15,23.1097005208333
10.3333333333333,31.3333333333333,81.544,15,22.0535481770833
10.3333333333333,31.3333333333333,99.18,15,21.2332356770833
10.3333333333333,31.3333333333333,11,18,29.8041982384688
10.3333333333333,31.3333333333333,28.636,18,27.1902769125565
10.3333333333333,31.3333333333333,46.272,18,25.3341565112547
10.3333333333333,31.3333333333333,63.908,18,23.9570798593257
10.3333333333333,31.3333333333333,81.544,18,22.9046223958333
10.3333333333333,31.3333333333333,99.18,18,22.0740559895833
10.3333333333333,31.3333333333333,11,21,30.0117894259405
10.3333333333333,31.3333333333333,28.636,21,27.6843257193837
10.3333333333333,31.3333333333333,46.272,21,25.9645870644741
10.3333333333333,31.3333333333333,63.908,21,24.6524973645443
10.3333333333333,31.3333333333333,81.544,21,23.6201836404249
10.3333333333333,31.3333333333333,11,24,30.1692137955283
10.3333333333333,31.3333333333333,28.636,24,28.0719641013454
10.3333333333333,31.3333333333333,46.272,24,26.4808284543101
10.3333333333333,31.3333333333333,63.908,24,25.2284661327608
10.3333333333333,31.3333333333333,81.544,24,24.2323572274281
10.3333333333333,31.3333333333333,99.18,24,23.4173177083333
10.3333333333333,35.8333333333333,11,6,30.8754119663472
10.3333333333333,35.8333333333333,28.636,6,25.0879720052083
10.3333333333333,35.8333333333333,46.272,6,22.3860677083333
10.3333333333333,35.8333333333333,63.908,6,20.8545735677083
10.3333333333333,35.8333333333333,81.544,6,19.8709309895833
10.3333333333333,35.8333333333333,99.18,6,19.1861165364583
10.3333333333333,35.8333333333333,11,9,32.3210602197533
10.3333333333333,35.8333333333333,28.636,9,27.3759019749601
10.3333333333333,35.8333333333333,46.272,9,24.5899251302083
10.3333333333333,35.8333333333333,63.908,9,22.8467610677083
10.3333333333333,35.8333333333333,81.544,9,21.6514485677083
10.3333333333333,35.8333333333333,99.18,9,20.7798665364583
10.3333333333333,35.8333333333333,11,12,33.1192797127877
