,Tamb,Tdc_in,qdc,wdc
187,10.333333333333332,35.83333333333333,1725.0,28.636000000000003
188,10.333333333333332,35.83333333333333,1725.0,46.272000000000006
189,10.333333333333332,35.83333333333333,1725.0,63.90800000000001
190,10.333333333333332,35.83333333333333,1725.0,81.54400000000001
191,10.333333333333332,35.83333333333333,1725.0,99.18
192,10.333333333333332,35.83333333333333,2070.0,11.0
193,10.333333333333332,35.83333333333333,2070.0,28.636000000000003
194,10.333333333333332,35.83333333333333,2070.0,46.272000000000006
195,10.333333333333332,35.83333333333333,2070.0,63.90800000000001
196,10.333333333333332,35.83333333333333,2070.0,81.54400000000001
197,10.333333333333332,35.83333333333333,2070.0,99.18
198,10.333333333333332,35.83333333333333,2415.0,11.0
199,10.333333333333332,35.83333333333333,2415.0,28.636000000000003
200,10.333333333333332,35.83333333333333,2415.0,46.272000000000006
201,10.333333333333332,35.83333333333333,2415.0,63.90800000000001
202,10.333333333333332,35.83333333333333,2415.0,81.54400000000001
203,10.333333333333332,35.83333333333333,2415.0,99.18
204,10.333333333333332,35.83333333333333,2760.0,11.0
205,10.333333333333332,35.83333333333333,2760.0,28.636000000000003
206,10.333333333333332,35.83333333333333,2760.0,46.272000000000006
207,10.333333333333332,35.83333333333333,2760.0,63.90800000000001
208,10.333333333333332,35.83333333333333,2760.0,81.54400000000001
209,10.333333333333332,35.83333333333333,2760.0,99.18
210,10.333333333333332,40.33333333333333,690.0,11.0
211,10.333333333333332,40.33333333333333,690.0,28.636000000000003
212,10.333333333333332,40.33333333333333,690.0,46.272000000000006
213,10.333333333333332,40.33333333333333,690.0,63.90800000000001
214,10.333333333333332,40.33333333333333,690.0,81.54400000000001
215,10.333333333333332,40.33333333333333,690.0,99.18
216,10.333333333333332,40.33333333333333,1035.0,11.0
217,10.333333333333332,40.33333333333333,1035.0,28.636000000000003
218,10.333333333333332,40.33333333333333,1035.0,46.272000000000006
219,10.333333333333332,40.33333333333333,1035.0,63.90800000000001
220,10.333333333333332,40.33333333333333,1035.0,81.54400000000001
221,10.333333333333332,40.33333333333333,1035.0,99.18
222,10.333333333333332,40.33333333333333,1380.0,11.0
223,10.333333333333332,40.33333333333333,1380.0,28.636000000000003
224,10.333333333333332,40.33333333333333,1380.0,46.272000000000006
225,10.333333333333332,40.33333333333333,1380.0,63.90800000000001
226,10.333333333333332,40.33333333333333,1380.0,81.54400000000001
227,10.333333333333332,40.33333333333333,1380.0,99.18
228,10.333333333333332,40.33333333333333,1725.0,11.0
229,10.333333333333332,40.33333333333333,1725.0,28.636000000000003
230,10.333333333333332,40.33333333333333,1725.0,46.272000000000006
231,10.333333333333332,40.33333333333333,1725.0,63.90800000000001
232,10.333333333333332,40.33333333333333,1725.0,81.54400000000001
233,10.333333333333332,40.33333333333333,1725.0,99.18
234,10.333333333333332,40.33333333333333,2070.0,11.0
235,10.333333333333332,40.33333333333333,2070.0,28.636000000000003
236,10.333333333333332,40.33333333333333,2070.0,46.272000000000006
237,10.333333333333332,40.33333333333333,2070.0,63.90800000000001
238,10.333333333333332,40.33333333333333,2070.0,81.54400000000001
239,10.333333333333332,40.33333333333333,2070.0,99.18
240,10.333333333333332,40.33333333333333,2415.0,11.0
241,10.333333333333332,40.33333333333333,2415.0,28.636000000000003
242,10.333333333333332,40.33333333333333,2415.0,46.272000000000006
243,10.333333333333332,40.33333333333333,2415.0,63.90800000000001
244,10.333333333333332,40.33333333333333,2415.0,81.54400000000001
245,10.333333333333332,40.33333333333333,2415.0,99.18
246,10.333333333333332,40.33333333333333,2760.0,11.0
247,10.333333333333332,40.33333333333333,2760.0,28.636000000000003
248,10.333333333333332,40.33333333333333,2760.0,46.272000000000006
249,10.333333333333332,40.33333333333333,2760.0,63.90800000000001
250,10.333333333333332,40.33333333333333,2760.0,81.54400000000001
251,10.333333333333332,40.33333333333333,2760.0,99.18
252,17.666666666666664,25.166666666666664,690.0,11.0
253,17.666666666666664,25.166666666666664,690.0,28.636000000000003
254,17.666666666666664,25.166666666666664,690.0,46.272000000000006
255,17.666666666666664,25.166666666666664,690.0,63.90800000000001
256,17.666666666666664,25.166666666666664,690.0,81.54400000000001
257,17.666666666666664,25.166666666666664,690.0,99.18
258,17.666666666666664,25.166666666666664,1035.0,11.0
259,17.666666666666664,25.166666666666664,1035.0,28.636000000000003
260,17.666666666666664,25.166666666666664,1035.0,46.272000000000006
261,17.666666666666664,25.166666666666664,1035.0,63.90800000000001
262,17.666666666666664,25.166666666666664,1035.0,81.54400000000001
263,17.666666666666664,25.166666666666664,1035.0,99.18
264,17.666666666666664,25.166666666666664,1380.0,11.0
265,17.666666666666664,25.166666666666664,1380.0,28.636000000000003
