eval_index,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio,Tout,m_w_lost,evaluation_status,Ce
98,14.75,0.0009707903002056,30.0,3194.181818181818,63.89938492245707,3.0704317474709653,0.5000000000382638,13.007041017019654,78607.28444495985,2,60.11616115965529
99,14.75,0.0009707903002056,30.0,3194.181818181818,32.21741083636552,3.0704317474709653,1.3750000049626256,20.444176369054738,42851.637740170576,2,13.404276064391611
100,14.75,0.0009707903002056,30.0,3194.181818181818,27.02259600733492,3.0704317474709653,2.2500000290677584,19.98376255658172,43203.71748103773,2,9.20820372932052
101,14.75,0.0009707903002056,30.0,3194.181818181818,24.850620226524853,3.0704317474709653,3.1250000682628167,24.835858629340844,23095.99974536265,2,7.709636165780853
102,14.75,0.0009707903002056,30.0,3194.181818181818,23.65604940161868,3.0704317474709653,4.000000158787198,25.00060148244813,22595.707960776268,2,6.947893337081893
103,14.75,0.0009707903002056,30.0,3449.454545454545,70.17175868030729,3.0704317474709653,0.5000000010263168,13.007038433917744,84889.43742261721,2,74.2174195121962
104,14.75,0.0009707903002056,30.0,3449.454545454545,33.33511935383766,3.0704317474709653,1.3750000100728264,20.41382738356823,46461.30056599581,2,14.423109617672994
105,14.75,0.0009707903002056,30.0,3449.454545454545,27.65449278561296,3.0704317474709653,2.2500000403997125,23.292904802326884,32411.96426679516,2,9.672080513048476
106,14.75,0.0009707903002056,30.0,3449.454545454545,25.29181070722792,3.0704317474709653,3.1250000847772688,21.008538642253978,42794.47918126801,2,8.002111903265709
107,14.75,0.0009707903002056,30.0,3449.454545454545,23.9950899249249,3.0704317474709653,4.000000095662129,25.000601403933388,24401.51287787182,2,7.159631670704046
108,14.75,0.0009707903002056,30.0,3704.727272727273,78.18161914808177,3.0704317474709653,0.5000000003163563,13.007038420037206,91171.57803584576,2,94.83831269449318
109,14.75,0.0009707903002056,30.0,3704.727272727273,34.471902564613536,3.0704317474709653,1.3750000084794478,20.41382737604281,49899.613171364384,2,15.502492527755065
