month,day,start_hour,end_hour,value
1,21,19.0,21.5,1.0
1,21,21.5,24.0,0.6
1,22,0.0,7.0,0.6
1,22,7.0,9.5,1.0
1,22,9.5,19.0,0.0
1,22,19.0,21.5,1.0
1,22,21.5,24.0,0.6
1,23,0.0,7.0,0.6
1,23,7.0,9.5,1.0
1,23,9.5,19.0,0.0
1,23,19.0,21.5,1.0
1,23,21.5,24.0,0.6
1,24,0.0,7.0,0.6
1,24,7.0,9.5,1.0
1,24,9.5,19.0,0.0
1,24,19.0,21.5,1.0
1,24,21.5,24.0,0.6
1,25,0.0,7.0,0.6
1,25,7.0,9.5,1.0
1,25,9.5,19.0,0.0
1,25,19.0,21.5,1.0
1,25,21.5,24.0,0.6
1,26,0.0,7.0,0.6
1,26,7.0,9.5,1.0
1,26,9.5,19.0,0.0
1,26,19.0,21.5,1.0
1,26,21.5,24.0,0.6
1,27,0.0,7.0,0.6
1,27,7.0,9.5,1.0
1,27,9.5,19.0,0.0
1,27,19.0,21.5,1.0
1,27,21.5,24.0,0.6
1,28,0.0,7.0,0.6
1,28,7.0,9.5,1.0
1,28,9.5,19.0,0.0
1,28,19.0,21.5,1.0
1,28,21.5,24.0,0.6
1,29,0.0,7.0,0.6
1,29,7.0,9.5,1.0
1,29,9.5,19.0,0.0
1,29,19.0,21.5,1.0
1,29,21.5,24.0,0.6
1,30,0.0,7.0,0.6
1,30,7.0,9.5,1.0
1,30,9.5,19.0,0.0
1,30,19.0,21.5,1.0
1,30,21.5,24.0,0.6
1,31,0.0,7.0,0.6
1,31,7.0,9.5,1.0
1,31,9.5,19.0,0.0
1,31,19.0,21.5,1.0
1,31,21.5,24.0,0.6
2,1,0.0,7.0,0.6
2,1,7.0,9.5,1.0
2,1,9.5,19.0,0.0
2,1,19.0,21.5,1.0
2,1,21.5,24.0,0.6
2,2,0.0,7.0,0.6
2,2,7.0,9.5,1.0
2,2,9.5,19.0,0.0
2,2,19.0,21.5,1.0
2,2,21.5,24.0,0.6
2,3,0.0,7.0,0.6
2,3,7.0,9.5,1.0
2,3,9.5,19.0,0.0
2,3,19.0,21.5,1.0
2,3,21.5,24.0,0.6
2,4,0.0,7.0,0.6
2,4,7.0,9.5,1.0
2,4,9.5,19.0,0.0
2,4,19.0,21.5,1.0
2,4,21.5,24.0,0.6
2,5,0.0,7.0,0.6
2,5,7.0,9.5,1.0
2,5,9.5,19.0,0.0
2,5,19.0,21.5,1.0
2,5,21.5,24.0,0.6
2,6,0.0,7.0,0.6
2,6,7.0,9.5,1.0
2,6,9.5,19.0,0.0
2,6,19.0,21.5,1.0
2,6,21.5,24.0,0.6
2,7,0.0,7.0,0.6
2,7,7.0,9.5,1.0
2,7,9.5,19.0,0.0
2,7,19.0,21.5,1.0
2,7,21.5,24.0,0.6
2,8,0.0,7.0,0.6
2,8,7.0,9.5,1.0
2,8,9.5,19.0,0.0
2,8,19.0,21.5,1.0
2,8,21.5,24.0,0.6
2,9,0.0,7.0,0.6
2,9,7.0,9.5,1.0
2,9,9.5,19.0,0.0
2,9,19.0,21.5,1.0
